Accident_ID,Date,Time,Weather,Road_Condition,Road_Type,Traffic_Density,Speed_Limit,Vehicle_Type,Driver_Age,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity
ACC0246,2025-12-18,14:21,Cloudy,Dry,City Road,Medium,60,Bike,59.0,Night,2,3,Minor
ACC0247,2025-07-18,01:46,Cloudy,Dry,Rural Road,Medium,50,Auto,33.0,Daylight,3,2,Moderate
ACC0248,2025-11-04,07:39,Foggy,Icy,City Road,High,30,Truck,52.0,Night,4,1,Severe
ACC0249,2025-05-08,16:43,Clear,Dry,City Road,High,40,Bike,47.0,Street Light,1,2,Moderate
ACC0250,2025-02-08,18:41,Foggy,Icy,Intersection,Medium,60,Truck,27.0,Daylight,1,2,Moderate
ACC0251,2025-12-04,08:36,Clear,Dry,Highway,High,30,Bike,55.0,Daylight,3,2,Moderate
ACC0252,2025-12-26,05:51,Clear,Dry,City Road,Low,70,Car,35.0,Daylight,3,2,Moderate
ACC0253,2025-05-09,01:58,Clear,Dry,Highway,Low,80,Bus,67.0,Daylight,1,2,Moderate
ACC0254,2025-09-24,23:58,Rainy,Dry,Rural Road,High,40,Car,22.0,Daylight,4,1,Moderate
ACC0255,2025-05-31,12:05,Foggy,Dry,Intersection,High,80,Bike,70.0,Night,4,2,Severe
ACC0256,2025-10-25,04:56,Rainy,Wet,Highway,Low,80,Bus,46.0,Daylight,4,1,Severe
ACC0257,2025-04-09,00:52,Clear,Dry,Rural Road,Medium,30,Car,56.0,Street Light,3,3,Moderate
ACC0258,2025-09-20,21:20,Clear,Wet,Highway,Low,40,Car,51.0,Street Light,2,1,Minor
ACC0259,2025-09-09,05:05,Cloudy,Wet,Intersection,Medium,40,Auto,60.0,Night,2,0,Minor
ACC0260,2025-05-24,22:47,Clear,,Rural Road,High,50,Bike,62.0,Street Light,2,1,Minor
ACC0261,2025-12-12,03:29,Rainy,Dry,Rural Road,Medium,80,Car,40.0,Daylight,2,2,Moderate
ACC0262,2025-04-22,10:29,Clear,Wet,Highway,Medium,40,Bike,22.0,Daylight,2,1,Minor
ACC0263,2025-03-01,23:54,Foggy,Dry,Intersection,Medium,50,Bike,47.0,Night,3,1,Moderate
ACC0264,2025-01-02,08:54,Rainy,Dry,Rural Road,Low,60,Bike,23.0,Street Light,3,2,Moderate
ACC0265,2025-10-31,02:50,Clear,Icy,City Road,Medium,50,Auto,63.0,Street Light,2,1,Minor
ACC0266,2025-09-11,07:36,Clear,Dry,Rural Road,Medium,70,Bike,61.0,Daylight,3,4,Moderate
ACC0267,2025-05-20,03:23,Rainy,Wet,Highway,High,100,Car,21.0,Street Light,3,4,Severe
ACC0268,2025-02-06,05:01,Rainy,Icy,Rural Road,High,30,Truck,46.0,Daylight,2,2,Severe
ACC0269,2025-06-09,19:27,Clear,Dry,Highway,Low,60,Truck,40.0,Street Light,4,1,Minor
ACC0270,2025-01-09,10:03,Cloudy,Dry,Rural Road,High,100,Car,23.0,No Light,3,3,Severe
ACC0271,2025-08-21,14:05,Clear,Dry,City Road,High,100,Car,49.0,Daylight,4,0,Moderate
ACC0272,2025-04-09,21:48,Clear,Dry,Highway,High,60,Car,59.0,Night,3,2,Moderate
ACC0273,2025-05-27,23:37,Cloudy,Dry,Highway,Medium,70,Bike,35.0,Daylight,3,1,Moderate
ACC0274,2025-10-31,18:56,Clear,Wet,Highway,Medium,50,Bike,32.0,Daylight,2,4,Moderate
ACC0275,2025-07-27,01:14,Rainy,Dry,City Road,Medium,30,Bike,57.0,Night,3,0,Moderate
ACC0276,2025-05-11,10:07,Clear,Dry,City Road,Low,50,Auto,49.0,Night,1,2,Minor
ACC0277,2025-06-01,18:44,Clear,Icy,City Road,Low,40,Bus,26.0,Street Light,1,3,Moderate
ACC0278,2025-02-23,11:04,Cloudy,Potholes,Highway,Low,50,Car,54.0,Night,2,2,Moderate
ACC0279,2025-04-30,05:25,Clear,Wet,Highway,Medium,60,Car,27.0,Daylight,4,0,Moderate
ACC0280,2025-06-10,21:03,Cloudy,Dry,Rural Road,High,30,Bike,37.0,Street Light,4,5,Moderate
ACC0281,2025-04-26,18:19,Clear,Wet,Highway,Medium,50,Car,23.0,No Light,4,2,Severe
ACC0282,2025-03-16,00:19,Clear,Dry,Intersection,Low,30,Bike,65.0,Daylight,1,2,Minor
ACC0283,2025-04-23,16:11,Clear,Dry,Rural Road,High,30,Truck,20.0,No Light,4,1,Moderate
ACC0284,2025-04-14,14:00,Rainy,Dry,City Road,High,40,Car,59.0,Daylight,4,2,Severe
ACC0285,2025-12-06,13:37,Clear,Potholes,City Road,High,40,Bike,28.0,Street Light,2,1,Moderate
ACC0286,2025-09-11,04:10,Cloudy,Dry,Rural Road,High,60,Truck,60.0,Daylight,4,0,Moderate
ACC0287,2025-08-15,03:12,Rainy,Dry,Highway,Medium,70,Bike,34.0,Daylight,1,1,Moderate
ACC0288,2025-04-22,10:02,Cloudy,Dry,Highway,High,100,Car,49.0,Daylight,1,3,Moderate
ACC0289,2025-04-09,00:05,Clear,Dry,Highway,Low,30,Bike,21.0,Night,1,1,Minor
ACC0290,2025-06-02,17:55,Cloudy,Potholes,Rural Road,Medium,70,Car,21.0,Daylight,2,1,Moderate
ACC0291,2025-12-15,09:04,Foggy,Wet,Highway,Low,100,Auto,34.0,Daylight,2,2,Severe
ACC0292,2025-12-04,22:09,Foggy,Wet,City Road,Low,100,Car,58.0,Night,3,3,Severe
ACC0293,2025-07-13,11:01,Foggy,Dry,Intersection,Low,60,Bike,36.0,Street Light,4,0,Moderate
ACC0294,2025-11-06,12:39,Foggy,Dry,Rural Road,Medium,100,Bike,22.0,Daylight,2,2,Moderate
ACC0295,2025-06-12,01:19,Rainy,Dry,City Road,High,100,Auto,49.0,Daylight,1,1,Moderate
ACC0296,2025-07-27,00:36,Clear,Dry,Highway,Medium,30,Car,39.0,Daylight,1,0,Minor
ACC0297,2025-06-18,08:16,Clear,Dry,Rural Road,Low,30,Car,23.0,Daylight,2,0,Minor
ACC0298,2025-06-10,08:10,Cloudy,Wet,City Road,High,80,Car,52.0,Street Light,2,3,Severe
ACC0299,2025-03-09,14:23,Rainy,Dry,Highway,Medium,70,Car,39.0,Street Light,2,1,Moderate
ACC0300,2025-10-16,05:54,Foggy,Dry,Highway,Medium,50,Car,18.0,Night,3,0,Moderate
ACC0301,2025-10-04,02:29,Rainy,Dry,Intersection,Medium,40,Bike,37.0,Daylight,1,1,Minor
ACC0302,2025-10-31,16:04,Clear,Dry,City Road,Medium,50,Car,39.0,Street Light,3,3,Moderate
ACC0303,2025-05-15,11:49,Clear,Dry,Rural Road,Medium,70,Car,65.0,Night,3,1,Moderate
ACC0304,2025-07-14,13:52,Rainy,Icy,Rural Road,High,40,Truck,28.0,Street Light,4,1,Severe
ACC0305,2025-05-08,23:10,Clear,Potholes,City Road,Medium,50,Car,30.0,Night,1,0,Minor
ACC0306,2025-02-02,08:33,Clear,Icy,City Road,Medium,80,Car,59.0,Street Light,1,1,Moderate
ACC0307,2025-06-25,11:34,Rainy,Dry,City Road,High,40,Car,20.0,Night,2,2,Moderate
ACC0308,2025-01-22,02:00,Clear,Dry,City Road,High,30,Auto,26.0,Daylight,2,2,Moderate
ACC0309,2025-08-26,07:21,Rainy,Dry,City Road,Low,50,Car,29.0,No Light,4,1,Moderate
ACC0310,2025-06-07,07:10,Clear,Dry,Rural Road,Low,40,Truck,40.0,Night,3,1,Minor
ACC0311,2025-02-07,08:36,Foggy,Potholes,City Road,Low,80,Bus,31.0,Night,2,1,Moderate
ACC0312,2025-08-18,13:59,Clear,Dry,Rural Road,Medium,100,Car,50.0,Daylight,2,1,Minor
ACC0313,2025-12-31,02:20,Rainy,Dry,City Road,Medium,40,Auto,35.0,Night,1,0,Minor
ACC0314,2025-02-20,04:04,Clear,Dry,City Road,Low,40,Car,66.0,Night,1,3,Minor
ACC0315,2025-09-21,18:58,Clear,Dry,City Road,High,80,Car,58.0,Daylight,2,5,Moderate
ACC0316,2025-10-10,13:25,Clear,Wet,City Road,Medium,100,Truck,26.0,Daylight,1,5,Moderate
ACC0317,2025-01-27,03:24,Rainy,Dry,Rural Road,Low,50,Bus,40.0,Night,4,4,Moderate
ACC0318,2025-08-14,12:41,Rainy,Dry,Highway,Medium,60,Bike,27.0,Street Light,2,2,Moderate
ACC0319,2025-10-04,17:39,Clear,Dry,City Road,Medium,50,Car,36.0,Night,1,3,Minor
ACC0320,2025-10-13,07:38,Rainy,Dry,Highway,Low,100,Bike,64.0,Daylight,4,1,Moderate
ACC0321,2025-04-07,07:13,Cloudy,Wet,City Road,Medium,70,Truck,22.0,Night,1,2,Moderate
ACC0322,2025-10-11,18:37,Foggy,Potholes,City Road,High,80,Car,64.0,Daylight,1,2,Severe
ACC0323,2025-11-13,00:22,Clear,Icy,City Road,Medium,50,Car,69.0,Daylight,1,2,Moderate
ACC0324,2025-10-31,14:32,,Wet,Intersection,Medium,40,Car,40.0,Daylight,2,3,Moderate
ACC0325,2025-05-27,16:32,Clear,Dry,City Road,Medium,80,Car,47.0,Daylight,3,1,Moderate
ACC0326,2025-01-04,14:54,Clear,Wet,Rural Road,Low,30,Truck,42.0,Daylight,1,1,Minor
ACC0327,2025-02-04,01:13,Cloudy,Dry,City Road,Low,100,Bike,45.0,Daylight,4,4,Moderate
ACC0328,2025-07-11,20:39,Clear,Dry,City Road,Medium,50,Auto,51.0,Daylight,2,0,Minor
ACC0329,2025-02-18,07:50,Rainy,Potholes,Highway,Low,80,Car,62.0,Daylight,2,2,Severe
ACC0330,2025-01-17,06:50,Rainy,Dry,Highway,Low,50,Bus,65.0,Night,4,4,Moderate
ACC0331,2025-06-21,05:05,Foggy,Potholes,City Road,High,80,Car,64.0,Daylight,1,2,Severe
ACC0332,2025-08-08,02:06,Rainy,Dry,City Road,High,40,Car,42.0,Daylight,3,2,Severe
ACC0333,2025-06-07,18:07,Clear,Wet,Highway,High,30,Car,27.0,Street Light,1,1,Moderate
ACC0334,2025-02-15,09:51,Clear,Wet,Highway,High,30,Car,31.0,Daylight,4,1,Moderate
ACC0335,2025-01-06,14:46,Rainy,Potholes,Highway,Low,70,Bike,59.0,Night,2,4,Severe
ACC0336,2025-04-09,00:51,Clear,Wet,Intersection,High,80,Auto,63.0,Daylight,3,2,Severe
ACC0337,2025-08-21,06:26,Clear,Wet,City Road,Low,50,Bike,47.0,Daylight,2,2,Moderate
ACC0338,2025-02-06,03:28,Clear,Dry,City Road,High,30,Car,58.0,Night,4,0,Moderate
ACC0339,2025-10-07,05:56,Clear,Dry,Highway,High,100,Car,42.0,Night,1,0,Moderate
ACC0340,2025-12-15,00:36,Clear,Dry,City Road,High,30,Car,31.0,Street Light,3,5,Moderate
ACC0341,2025-10-29,22:32,Clear,Wet,Highway,High,60,Bike,52.0,Night,2,1,Moderate
ACC0342,2025-06-30,03:21,Rainy,Dry,Highway,Medium,60,Bus,69.0,No Light,2,2,Moderate
ACC0343,2025-04-05,01:09,Rainy,Wet,City Road,Medium,30,Auto,65.0,Daylight,2,0,Moderate
ACC0344,2025-04-09,04:58,Foggy,Dry,Highway,Medium,80,Car,51.0,Daylight,1,2,Moderate
ACC0345,2025-07-07,09:32,Clear,Dry,Highway,Medium,70,Bike,27.0,Daylight,3,4,Moderate
ACC0346,2025-04-26,21:37,Clear,Wet,Highway,Low,30,Bike,52.0,Daylight,1,2,Moderate
ACC0347,2025-07-10,12:30,Clear,Dry,Highway,Medium,40,Bike,28.0,Night,1,1,Minor
ACC0348,2025-09-10,14:35,Rainy,Dry,Highway,High,50,Bike,28.0,Night,1,2,Moderate
ACC0349,2025-06-10,12:23,Foggy,Dry,City Road,Low,70,Bike,38.0,Daylight,4,3,Severe
ACC0350,2025-09-13,19:55,Clear,Icy,Rural Road,High,40,Bike,38.0,Street Light,4,1,Moderate
ACC0351,2025-11-19,14:28,Cloudy,Wet,City Road,High,70,Car,39.0,Street Light,4,4,Severe
ACC0352,2025-05-08,07:04,Clear,Dry,City Road,High,40,Truck,62.0,Daylight,3,2,Moderate
ACC0353,2025-01-18,14:03,Rainy,Dry,Highway,High,50,Car,24.0,Daylight,1,4,Moderate
ACC0354,2025-10-08,11:44,Foggy,Dry,Intersection,Medium,50,Bike,34.0,Daylight,1,2,Moderate
ACC0355,2025-08-11,01:26,Cloudy,Wet,City Road,High,60,Bike,19.0,Daylight,4,1,Moderate
ACC0356,2025-02-23,18:50,Foggy,Wet,Highway,High,80,Bike,29.0,Daylight,1,1,Severe
ACC0357,2025-02-27,03:35,Foggy,Dry,City Road,Low,40,Auto,59.0,Night,1,1,Minor
ACC0358,2025-11-19,10:26,Clear,Dry,Highway,Medium,60,Truck,35.0,Daylight,2,4,Minor
ACC0359,2025-12-26,04:19,Foggy,Dry,City Road,High,40,Truck,28.0,Daylight,1,3,Moderate
ACC0360,2025-06-23,10:09,Clear,Wet,City Road,Low,60,Bike,33.0,No Light,2,2,Moderate
ACC0361,2025-10-07,07:37,Cloudy,Wet,Rural Road,Medium,50,Bus,66.0,Night,1,1,Minor
ACC0362,2025-04-24,05:07,Rainy,Dry,City Road,Medium,70,Bike,68.0,Street Light,3,1,Moderate
ACC0363,2025-10-15,22:46,Foggy,Dry,Rural Road,Low,100,Truck,35.0,Daylight,4,3,Severe
ACC0364,2025-12-08,13:42,Rainy,Dry,Intersection,Medium,60,Bike,52.0,Daylight,2,2,Moderate
ACC0365,2025-05-31,11:25,Rainy,Icy,Highway,High,40,Auto,70.0,Night,4,1,Severe
ACC0366,2025-05-07,12:39,Rainy,Dry,Highway,Medium,40,Auto,43.0,Daylight,2,2,Moderate
ACC0367,2025-06-04,17:24,Foggy,Wet,City Road,Low,100,Bus,33.0,Daylight,2,0,Moderate
ACC0368,2025-09-30,00:46,Clear,Wet,City Road,Low,80,Car,23.0,Night,2,1,Moderate
ACC0369,2025-04-14,07:59,,Dry,City Road,Medium,50,Car,61.0,Night,3,2,Moderate
ACC0370,2025-10-26,10:11,Clear,Dry,Intersection,High,40,Truck,60.0,Daylight,1,1,Minor
ACC0371,2025-09-03,11:35,Clear,Dry,Rural Road,Low,30,Car,64.0,Daylight,2,5,Minor
ACC0372,2025-06-25,15:03,Cloudy,Wet,City Road,Medium,70,Truck,64.0,Daylight,3,1,Moderate
ACC0373,2025-02-08,04:55,Clear,Wet,City Road,Low,60,Bike,65.0,Daylight,2,1,Minor
ACC0374,2025-06-19,04:07,Cloudy,Wet,Rural Road,Medium,80,Bike,59.0,Daylight,1,1,Moderate
ACC0375,2025-09-04,09:48,Clear,Dry,Intersection,High,100,Auto,29.0,Daylight,2,3,Moderate
ACC0376,2025-01-26,08:53,Clear,Dry,Rural Road,High,70,Bike,30.0,Daylight,3,1,Moderate
ACC0377,2025-12-21,18:28,Foggy,Icy,Highway,Low,50,Bike,21.0,No Light,1,2,Severe
ACC0378,2025-11-02,13:39,Rainy,Wet,City Road,Medium,80,Bike,56.0,Night,3,0,Severe
ACC0379,2025-01-13,08:21,Rainy,Dry,Highway,Low,60,Car,19.0,Night,1,0,Minor
ACC0380,2025-11-12,10:22,Rainy,Icy,Highway,Medium,60,Truck,43.0,Daylight,1,1,Moderate
ACC0381,2025-11-09,00:45,Foggy,Wet,Highway,Medium,100,Car,44.0,Daylight,4,3,Severe
ACC0382,2025-02-05,04:20,Clear,Wet,City Road,Low,30,Auto,44.0,Daylight,4,4,Moderate
ACC0383,2025-06-22,13:35,Cloudy,Wet,City Road,Medium,100,Truck,32.0,Daylight,4,0,Moderate
ACC0384,2025-01-20,21:22,Cloudy,Potholes,Highway,Medium,50,Car,25.0,Daylight,1,2,Moderate
ACC0385,2025-11-17,00:53,Rainy,Wet,City Road,High,80,Bus,24.0,Street Light,2,4,Severe
ACC0386,2025-09-21,22:50,Clear,Dry,City Road,High,80,Bike,64.0,Night,3,1,Moderate
ACC0387,2025-05-22,07:14,Rainy,Dry,City Road,Low,40,Car,63.0,Night,3,3,Moderate
ACC0388,2025-05-23,20:46,Clear,Icy,Highway,High,30,Auto,57.0,Daylight,3,1,Moderate
ACC0389,2025-04-02,08:52,Clear,Dry,City Road,Medium,30,Car,29.0,Street Light,4,4,Moderate
ACC0390,2025-12-20,08:09,Clear,Dry,Rural Road,Medium,80,Car,30.0,Daylight,1,3,Moderate
ACC0391,2025-11-18,19:56,Rainy,Dry,Highway,High,80,Bike,60.0,Daylight,4,4,Severe
ACC0392,2025-10-15,20:25,Cloudy,Dry,Highway,High,70,Bike,34.0,Daylight,2,2,Moderate
ACC0393,2025-08-03,08:34,Foggy,Wet,City Road,High,70,Bike,34.0,Street Light,1,1,Severe
ACC0394,2025-12-08,19:24,Foggy,Icy,Intersection,Medium,70,Bus,53.0,No Light,3,4,Severe
ACC0395,2025-02-20,10:37,Clear,Dry,City Road,Medium,30,Bike,38.0,Daylight,4,1,Minor
ACC0396,2025-06-02,01:06,Clear,Dry,City Road,High,40,Bike,25.0,Street Light,4,1,Moderate
ACC0397,2025-07-05,17:26,Clear,Dry,City Road,Medium,60,Car,22.0,Street Light,2,3,Minor
ACC0398,2025-03-04,01:26,Cloudy,Potholes,City Road,Medium,70,Car,43.0,Daylight,2,3,Moderate
ACC0399,2025-07-09,16:42,Clear,Wet,Highway,Medium,40,Car,33.0,Daylight,4,4,Moderate
ACC0400,2025-05-05,11:58,Cloudy,Dry,City Road,Medium,100,Car,53.0,Daylight,2,1,Minor
ACC0401,2025-05-30,18:53,Rainy,Potholes,Intersection,Low,50,Bike,45.0,No Light,3,3,Severe
ACC0402,2025-11-10,23:24,Clear,Potholes,City Road,Low,70,Car,46.0,Daylight,2,3,Moderate
ACC0403,2025-02-27,06:51,Foggy,Potholes,Rural Road,High,100,Car,64.0,Street Light,2,0,Severe
ACC0404,2025-12-08,05:52,Rainy,Potholes,Rural Road,Low,60,Car,29.0,Daylight,4,1,Moderate
ACC0405,2025-11-01,23:32,Cloudy,Dry,Highway,Medium,50,Auto,54.0,Night,4,1,Minor
ACC0406,2025-06-29,16:28,,Wet,Intersection,Low,50,Auto,47.0,Daylight,1,1,Minor
ACC0407,2025-06-19,10:21,Clear,Dry,Highway,Low,60,Bike,40.0,Night,1,5,Minor
ACC0408,2025-11-22,17:20,Clear,Potholes,City Road,Low,70,Auto,,Street Light,4,2,Severe
ACC0409,2025-09-28,16:06,Rainy,Wet,Highway,Low,30,Truck,31.0,Street Light,2,3,Moderate
ACC0410,2025-02-23,16:19,Cloudy,Wet,Highway,High,60,Bike,27.0,Street Light,2,5,Moderate
ACC0411,2025-04-11,08:48,Clear,Wet,City Road,Medium,60,Car,24.0,Daylight,1,1,Minor
ACC0412,2025-09-21,19:53,Rainy,Dry,Highway,High,60,Bus,62.0,Night,1,3,Moderate
ACC0413,2025-02-22,21:27,Rainy,Dry,City Road,Medium,50,Bus,69.0,Daylight,1,1,Minor
ACC0414,2025-03-01,07:48,Foggy,Icy,City Road,Medium,40,Bike,54.0,Daylight,3,4,Severe
ACC0415,2025-04-18,06:00,Clear,Icy,Highway,Medium,100,Bus,46.0,Night,3,1,Moderate
ACC0416,2025-01-05,12:29,Foggy,Dry,Highway,Medium,30,Bike,20.0,Daylight,1,4,Moderate
ACC0417,2025-04-13,22:50,Cloudy,Dry,City Road,High,70,Bus,32.0,Night,2,1,Moderate
ACC0418,2025-07-15,23:18,Clear,Dry,City Road,Medium,70,Auto,53.0,No Light,1,1,Moderate
ACC0419,2025-09-19,16:44,Clear,Wet,Rural Road,Medium,100,Car,64.0,Daylight,3,3,Severe
ACC0420,2025-12-31,15:39,Cloudy,Potholes,City Road,High,40,Bus,63.0,Night,2,1,Moderate
ACC0421,2025-12-16,18:17,Clear,Dry,Rural Road,High,60,Bike,69.0,Daylight,3,2,Moderate
ACC0422,2025-02-16,00:13,Cloudy,Dry,City Road,High,30,Bike,36.0,Daylight,2,1,Minor
ACC0423,2025-12-21,18:46,Rainy,Potholes,City Road,Medium,70,Bus,30.0,Daylight,3,3,Severe
ACC0424,2025-11-07,17:01,Clear,,City Road,High,100,Car,59.0,Street Light,2,1,Moderate
ACC0425,2025-11-04,21:27,Cloudy,Dry,Highway,Medium,80,Bike,38.0,Street Light,2,0,Minor
ACC0426,2025-05-24,16:49,Clear,Wet,City Road,Medium,100,Car,54.0,Street Light,2,1,Moderate
ACC0427,2025-09-26,05:50,Rainy,Dry,Rural Road,Low,70,Bike,44.0,No Light,2,2,Severe
ACC0428,2025-05-04,03:00,Clear,Dry,City Road,Medium,60,Bike,69.0,Daylight,4,1,Minor
ACC0429,2025-04-16,07:28,Rainy,Wet,Rural Road,Low,80,Bus,46.0,Daylight,3,1,Severe
ACC0430,2025-06-07,22:38,Clear,Wet,Rural Road,Medium,40,Car,37.0,Night,3,1,Moderate
ACC0431,2025-05-27,02:31,Clear,Potholes,Rural Road,High,30,Bike,42.0,Daylight,4,0,Moderate
ACC0432,2025-05-25,09:09,Cloudy,Wet,Intersection,Low,40,Car,23.0,Daylight,2,2,Moderate
ACC0433,2025-04-30,18:45,Clear,Wet,City Road,Low,40,Truck,53.0,Daylight,2,4,Moderate
ACC0434,2025-11-15,01:59,Rainy,Dry,City Road,Low,100,Auto,19.0,Night,3,1,Moderate
ACC0435,2025-10-02,00:22,Clear,Dry,City Road,High,30,Auto,39.0,Night,4,2,Moderate
ACC0436,2025-04-02,22:27,Foggy,Dry,City Road,Medium,30,Truck,49.0,Daylight,2,2,Moderate
ACC0437,2025-02-27,17:06,Clear,Dry,City Road,Medium,70,Bus,33.0,Daylight,2,1,Minor
ACC0438,2025-12-12,07:00,Cloudy,Wet,Rural Road,High,70,Car,35.0,Night,2,3,Severe
ACC0439,2025-08-17,22:02,Rainy,Icy,City Road,High,30,Car,22.0,Night,1,1,Moderate
ACC0440,2025-04-27,23:22,Clear,Dry,City Road,Medium,80,Bike,53.0,Daylight,4,2,Moderate
ACC0441,2025-11-14,07:53,Clear,Dry,Highway,Medium,50,Bus,47.0,Night,2,0,Minor
ACC0442,2025-10-06,14:36,Clear,Potholes,City Road,High,70,Auto,62.0,Daylight,1,2,Severe
ACC0443,2025-05-07,02:50,Rainy,Dry,Highway,Medium,50,Car,36.0,Daylight,4,2,Moderate
ACC0444,2025-05-09,00:27,Clear,Wet,Rural Road,Low,100,Auto,40.0,Street Light,2,0,Moderate
ACC0445,2025-02-27,14:07,Foggy,Wet,City Road,High,80,Bike,51.0,Night,3,1,Severe
ACC0446,2025-05-02,01:34,Clear,Wet,Highway,Medium,30,Bike,30.0,Daylight,1,5,Moderate
ACC0447,2025-01-01,23:13,Clear,Dry,Highway,Medium,80,Car,60.0,Night,1,1,Minor
ACC0448,2025-08-27,23:45,Rainy,Dry,City Road,Medium,70,Car,46.0,Night,2,2,Moderate
ACC0449,2025-10-17,10:15,Foggy,Wet,City Road,Low,40,Bike,53.0,Street Light,2,4,Moderate
ACC0450,2025-04-06,03:51,Clear,Wet,City Road,Low,100,Bike,39.0,Night,1,3,Moderate
ACC0451,2025-05-06,04:53,Clear,Dry,Highway,High,30,Car,69.0,Night,3,2,Moderate
ACC0452,2025-04-28,20:13,Clear,Wet,City Road,Low,60,Bike,69.0,Daylight,3,3,Moderate
ACC0453,2025-02-17,22:47,Foggy,Dry,City Road,Medium,100,Truck,64.0,Daylight,4,4,Severe
ACC0454,2025-03-30,17:06,Rainy,Wet,City Road,Medium,50,Truck,53.0,Daylight,2,2,Moderate
ACC0455,2025-08-25,09:06,Rainy,Dry,City Road,Low,80,Auto,26.0,Daylight,3,2,Severe
ACC0456,2025-09-29,00:22,Foggy,Icy,City Road,High,30,Car,56.0,Night,4,1,Severe
ACC0457,2025-07-08,20:18,Foggy,Dry,Highway,Low,100,Car,68.0,Night,3,5,Severe
ACC0458,2025-07-11,15:18,Rainy,Dry,Intersection,Medium,80,Bus,36.0,Daylight,2,2,Moderate
ACC0459,2025-03-10,03:28,Cloudy,Dry,City Road,Medium,30,Bike,55.0,Daylight,4,0,Minor
ACC0460,2025-10-05,17:01,Clear,Dry,City Road,Low,70,Car,23.0,Daylight,4,4,Moderate
ACC0461,2025-12-15,00:46,Clear,Potholes,Highway,Low,100,Car,69.0,Daylight,4,2,Severe
ACC0462,2025-09-04,04:19,Clear,Icy,City Road,High,70,Bike,64.0,Night,3,0,Severe
ACC0463,2025-03-17,10:41,Clear,Dry,Highway,High,100,Car,32.0,Daylight,2,2,Moderate
ACC0464,2025-06-03,01:02,Rainy,Dry,City Road,Low,70,Car,37.0,Night,4,1,Moderate
ACC0465,2025-05-24,22:54,Cloudy,Wet,Intersection,Medium,80,Car,26.0,Street Light,1,4,Moderate
ACC0466,2025-03-27,11:19,Clear,Potholes,City Road,High,60,Car,49.0,Daylight,2,1,Moderate
ACC0467,2025-07-04,04:36,Clear,Wet,Highway,High,100,Bike,21.0,Daylight,1,3,Severe
ACC0468,2025-10-12,05:29,Rainy,Dry,Highway,Medium,100,Bike,67.0,Daylight,1,2,Moderate
ACC0469,2025-08-08,08:33,Cloudy,Dry,City Road,Medium,70,Bike,35.0,Night,4,0,Moderate
ACC0470,2025-03-10,20:43,Clear,Wet,Highway,Medium,30,Car,22.0,Night,4,5,Moderate
ACC0471,2025-02-16,02:51,Rainy,Dry,Highway,High,100,Car,37.0,Daylight,3,2,Severe
ACC0472,2025-04-04,21:43,Clear,Wet,Rural Road,High,70,Bike,40.0,Night,3,1,Severe
ACC0473,2025-08-26,23:16,Clear,Dry,City Road,Low,40,Bike,28.0,Street Light,3,2,Moderate
ACC0474,2025-07-23,09:29,Cloudy,Wet,Highway,Medium,70,Bike,54.0,Daylight,2,4,Moderate
ACC0475,2025-08-06,23:58,Cloudy,Dry,Intersection,High,80,Car,39.0,Daylight,3,1,Moderate
ACC0476,2025-12-07,13:22,Clear,Wet,Highway,High,60,Auto,21.0,Street Light,1,1,Moderate
ACC0477,2025-02-08,16:49,Cloudy,Dry,Intersection,High,40,Car,46.0,Night,3,1,Moderate
ACC0478,2025-04-10,18:16,Rainy,Wet,City Road,High,80,Bike,61.0,Street Light,4,1,Severe
ACC0479,2025-10-16,13:08,Cloudy,Dry,Rural Road,Medium,80,Bike,51.0,Night,3,3,Moderate
ACC0480,2025-09-11,07:01,,Wet,City Road,Medium,80,Bike,30.0,Street Light,2,2,Severe
ACC0481,2025-08-10,12:24,Rainy,Wet,Rural Road,Medium,30,Car,59.0,Daylight,2,1,Moderate
ACC0482,2025-12-23,06:08,Rainy,Wet,Intersection,Low,80,Bike,26.0,Night,1,1,Moderate
ACC0483,2025-01-23,21:21,Rainy,Wet,Highway,Medium,30,Truck,59.0,Street Light,2,1,Moderate
ACC0484,2025-09-07,10:45,Clear,Wet,Intersection,High,80,Car,48.0,Night,3,4,Severe
ACC0485,2025-01-10,03:25,Clear,Potholes,City Road,Low,50,Car,24.0,Daylight,4,1,Moderate
ACC0486,2025-09-03,12:33,Clear,Dry,City Road,High,40,Car,21.0,Daylight,2,5,Moderate
ACC0487,2025-11-21,22:36,Foggy,Potholes,City Road,Medium,50,Truck,36.0,Daylight,1,2,Moderate
ACC0488,2025-04-10,10:05,Clear,Dry,City Road,High,80,Car,59.0,Daylight,3,1,Moderate
ACC0489,2025-10-17,17:20,Rainy,Dry,Highway,Low,40,Auto,47.0,Daylight,1,4,Moderate
ACC0490,2025-06-29,09:35,Cloudy,Dry,City Road,Medium,40,Bike,48.0,Night,2,2,Minor
ACC0491,2025-08-11,08:37,Clear,Dry,City Road,Medium,100,Auto,52.0,Night,2,3,Moderate
ACC0492,2025-09-07,01:16,Rainy,Wet,Rural Road,Medium,60,Auto,38.0,Daylight,1,5,Moderate
ACC0493,2025-05-27,04:24,Clear,Wet,Rural Road,High,50,Bike,48.0,Night,3,0,Moderate
